name,latitude,longitude,venue_type,cuisine_type,address,contact_info,opening_hours,rating,source
YUNA,52.5243024,13.3960858,cafe,,Oranienburger Straße,,,,OpenStreetMap
The Alley Mitte,52.5248449,13.4055296,cafe,bubble_tea,Neue Schönhauser Straße,+49 30 28047960,,,OpenStreetMap
CHIARO,52.5158147,13.3939157,restaurant,italian,Behrenstraße,,,,OpenStreetMap
Forum Café,52.5172015,13.4011771,cafe,cake,Schloßplatz,+49 30 555 705 884,,,OpenStreetMap
Baret,52.5174248,13.4008935,restaurant,regional,Schloßplatz,,,,OpenStreetMap
Café im Bode-Museum,52.5216583,13.3945684,cafe,,,,,,OpenStreetMap
Hai Coffee,52.5111836,13.4032313,restaurant,sushi;asian,Wallstraße,+49 30 32593243,,,OpenStreetMap
Phở Cở,52.5252358,13.4107648,restaurant,vietnamese,,,,,OpenStreetMap
Bonanza Coffee Roasters,52.5266022,13.4075153,cafe,,Alte Schönhauser Straße,,,,OpenStreetMap
Pomodori,52.5182405,13.4157809,restaurant,italian,,,,,OpenStreetMap
Knutschfleck,52.5212261,13.4096113,bar,,Panoramastraße,+493054083422,,,OpenStreetMap
Go Cha,52.5206963,13.4043897,cafe,bubble_tea,,,,,OpenStreetMap
BITE by RitterRichard,52.5242675,13.4027156,restaurant,,Rosenthaler Straße,,,,OpenStreetMap
Dieselhaus,52.5241854,13.3934646,restaurant,,,,,,OpenStreetMap
Mumbai Local,52.5193411,13.4099222,restaurant,indian,Rathausstraße,+49 30 50959406,,,OpenStreetMap
Com Nam,52.5229774,13.4006563,restaurant,asian,Große Präsidentenstraße,+49 30 54716529,,,OpenStreetMap
The Klub Kitchen,52.5249038,13.4090232,restaurant,,Almstadtstraße,,,,OpenStreetMap
Starbucks,52.5208209,13.4142012,cafe,coffee_shop,,,,,OpenStreetMap
Wilhelm,52.5178944,13.4019325,restaurant,,,,,,OpenStreetMap
Deli Alexander,52.5177898,13.4024502,restaurant,,,,,,OpenStreetMap
Spreedeck,52.5136927,13.4117569,restaurant,,,,,,OpenStreetMap
L’oui,52.5246872,13.3932556,cafe,,,,,,OpenStreetMap
Art.City.People,52.5257118,13.3943331,cafe,,Oranienburger Straße,,,,OpenStreetMap
Beef Grill Club,52.5149034,13.3944371,restaurant,steak_house,Französische Straße,,,,OpenStreetMap
Moneta,52.5152245,13.4093327,restaurant,,,+49 15165473929,,,OpenStreetMap
738 Krema,52.5279709,13.4015522,cafe,coffee_shop,Auguststraße,,,,OpenStreetMap
Knutschfleck,52.5211981,13.4087233,bar,,Panoramastraße,+49 30 54083422,,,OpenStreetMap
Hier wo du strahlst,52.5251715,13.4107281,bar,,Rosa-Luxemburg-Straße,,,,OpenStreetMap
Café Camaleon,52.5258489,13.4039008,restaurant,tapas,,,,,OpenStreetMap
Friendly Fish,52.523716,13.4008246,restaurant,sushi,Oranienburger Straße,,,,OpenStreetMap
Bata Bar & Billiards am Alex,52.5226556,13.4079224,bar,,,+4930200065900,,,OpenStreetMap
Lieschen Mueller,52.5207396,13.4085082,bar,,Panoramastraße,+49 030 54 08 34 22,,,OpenStreetMap
Dom Café,52.5188704,13.4018349,cafe,,Am Lustgarten,,,,OpenStreetMap
Café Felix,52.5178761,13.3917981,cafe,,,,,,OpenStreetMap
Coffee Fellows,52.5216737,13.4099982,cafe,coffee_shop,,,,,OpenStreetMap
The Crazy Little Greek,52.5275065,13.3980924,restaurant,,,,,,OpenStreetMap
The Noodle Town Mitte,52.5239329,13.3996615,restaurant,noodle;chinese,,,,,OpenStreetMap
Barcomi's,52.5262906,13.4009462,cafe,sandwich;cake;breakfast;coffee_shop,Sophienstraße,,,,OpenStreetMap
Schinkel Bar,52.5149553,13.3943706,bar,,,+493020143700,,,OpenStreetMap
Coffee Fellows,52.5203883,13.4109964,cafe,coffee_shop,,,,,OpenStreetMap
SammyS Berliner Donuts,52.5286704,13.4019004,cafe,donut,Rosenthaler Straße,,,,OpenStreetMap
Bar Basta,52.5257546,13.403995,restaurant,,Rosenthaler Straße,,,,OpenStreetMap
Japan Plaza,52.5227208,13.4082447,restaurant,japanese,Rochstraße,,,,OpenStreetMap
Müsterek meyhane,52.5124859,13.4109876,restaurant,turkish,,,,,OpenStreetMap
Dump Ling,52.5264365,13.4077671,restaurant,,Alte Schönhauser Str. 44,03071093400,,,OpenStreetMap
Spree Fumee,52.5134037,13.4110629,restaurant,,Märkisches Ufer,,,,OpenStreetMap
The Base,52.52371,13.4006134,restaurant,vietnamese,,,,,OpenStreetMap
The Commons,52.5165975,13.4177268,restaurant,,Alexanderstraße,,,,OpenStreetMap
