point1,line,point2
Bahnhof Berlin-Alexanderplatz,Berliner Stadtbahn,U-Bahnhof Rosa-Luxemburg-Platz
Bahnhof Berlin-Alexanderplatz,Berliner Stadtbahn,U-Bahnhof Weinmeisterstraße
Bahnhof Berlin-Alexanderplatz,Berliner Stadtbahn,Berlin Ostbahnhof
Bahnhof Berlin Hackescher Markt,Berliner Stadtbahn,Bahnhof Berlin-Alexanderplatz
Bahnhof Berlin-Alexanderplatz,Berliner Stadtbahn,Bahnhof Berlin-Friedrichstraße
Bahnhof Berlin Jannowitzbrücke,Berliner Stadtbahn,Bahnhof Berlin-Alexanderplatz
Bahnhof Berlin-Alexanderplatz,Berliner Stadtbahn,U-Bahnhof Jannowitzbrücke
Bahnhof Berlin-Alexanderplatz,Berliner Stadtbahn,S-Bahnhof Jannowitzbrücke
Bahnhof Berlin Yorckstraße,U1,U-Bahnhof Möckernbrücke
U-Bahnhof Mehringdamm,U1,U-Bahnhof Möckernbrücke
U-Bahnhof Möckernbrücke,U1,U-Bahnhof Yorckstraße
Bahnhof Berlin Yorckstraße,U7,U-Bahnhof Möckernbrücke
U-Bahnhof Hallesches Tor,U7,U-Bahnhof Möckernbrücke
U-Bahnhof Gleisdreieck,U7,U-Bahnhof Möckernbrücke
U-Bahnhof Kottbusser Tor,U1,U-Bahnhof Moritzplatz
U-Bahnhof Kottbusser Tor,U1,U-Bahnhof Schönleinstraße
U-Bahnhof Görlitzer Bahnhof,U8,U-Bahnhof Kottbusser Tor
U-Bahnhof Kottbusser Tor,U8,U-Bahnhof Prinzenstraße
U-Bahnhof Leopoldplatz,U6,U-Bahnhof Nauener Platz
U-Bahnhof Amrumer Straße,U6,U-Bahnhof Leopoldplatz
U-Bahnhof Leopoldplatz,U6,U-Bahnhof Wedding
U-Bahnhof Leopoldplatz,U9,U-Bahnhof Seestraße
U-Bahnhof Leopoldplatz,U9,U-Bahnhof Wedding
