name,amenity,addr:street,addr:housenumber,addr:postcode,addr:city,phone,website,email,opening_hours,operator,wheelchair,emergency,lat,lon
Tierarztpraxis Sarah Watson,veterinary,Altenbraker Straße,29,12051,Berlin,+49 30 6257209,https://www.tierarzt-watson.de/,info@tierarzt-watson.de,"We,Fr 09:00-15:00; Sa 10:00-12:00; Mo 09:00-17:00; Tu,Th 11:00-19:00",,no,,52.468653,13.4330363
4 Pfoten,veterinary,Fanningerstraße,27,10365,Berlin,+49 30 553 15 72,https://www.praxis4pfoten.de/,,"Mo 09:00-12:00,16:00-19:00; Tu 17:00-20:00; We 09:00-12:00; Th 09:00-12:00,16:00-19:00; Fr 09:00-12:00,14:00-16:00; Sa 10:00-12:00",,,,52.5143907,13.4951561
Tierarztpraxis Friedrichshain,veterinary,Auerstraße,44,10249,Berlin,+49 30 78 08 34 85,https://www.tierarztpraxis-friedrichshain.de,,Mo 09:00-15:00; Tu-We 12:00-15:00; Th 10:30-15:00; Fr 09:00-15:00,,,,52.5208823,13.4462478
Praxis für Kleintiermedizin Janine Lenk,veterinary,Eschengraben,47,13189,Berlin,+49 30 91203200,https://www.kleintiermedizin-lenk.de,,"Mo,Tu,Th 13:00-19:00; We 17:00-21:00; Fr 10:00-14:00",,,,52.556357,13.4245524
Peter Vogel,veterinary,Finowstraße,14,,,+49 30 29776835,https://www.drpetervogel.de/,,"Tu, We 10:00-15:00; Th 10:00-12:00; Mo, Fr 10:00-12:00, 16:00-19:00",,,,52.5111185,13.4668484
Dr. Karin Block,veterinary,Zimmermannstraße,16,12163,Berlin,,,,,,,,52.4607219,13.3195225
Tierarztpraxis im Komponistenviertel,veterinary,Bizetstraße,48,13088,Berlin,+49309273441,https://www.tierarztpraxis-peters-weissensee.de/,,Mo-Sa 10:00-12:00; Mo-Tu 16:00-19:00; Th-Fr 16:00-19:00,Dr. med. vet Anja Peters,,,52.5476848,13.4541052
Tierarztpraxis Lankwitz,veterinary,Bruchwitzstraße,30,12247,Berlin,+49 30 77208260,https://www.tierarztpraxis-lankwitz.de/,info@tierarztpraxis-lankwitz.de,"Mo-Tu,Th-Fr 10:00-13:00,15:00-18:00; We,Sa 09:00-12:00",,limited,,52.4370703,13.349587
Tierärztliche Praxis Beck,veterinary,Weichselstraße,25,12045,Berlin,+49 30 6239664,,,"Mo-Fr 09:00-11:00,15:00-19:00",,no,,52.4870325,13.4368022
Tierarztpraxis Marion Bickert,veterinary,Marchandstraße,38,12249,Berlin,+49 30 7755462,https://www.tierarztpraxis-bickert.de,office@tierarztpraxis-bickert.de,"Mo-Fr 09:00-11:00,16:00-18:00; Sa 09:30-10:30",,,,52.4227865,13.3566908
Teresa Lankes,veterinary,,,,,,,,"Mo,We,Fr 09:00-11:00, Mo-Fr 16:00-18:00",,,,52.5133005,13.2937818
Patrick O. Bolz,veterinary,,,,,,,,"Mo-Fr 10:00-12:00,16:00-19:00; PH,Sa,Su 10:00-12:00",,,,52.4564344,13.4367908
Tierarztpraxis Kaulsdorf-Süd,veterinary,,,,,+49 30 5666176,https://tierarztpraxis-kaulsdorf-sued.de/,juraske@tierarztpraxis-kaulsdorf-sued.de,"Tu,Th,Sa 10:00-12:00, Mo,Tu,Th 15:00-20:00, We,Fr 15:00-19:00; PH off",Friederike Juraske,,,52.486422,13.5746936
Tierarztpraxis Gasteiner Straße,veterinary,Gasteiner Straße,33,10717,Berlin,,https://tierarztpraxis-gasteiner-strasse.de/,,,Dr. Heike Hübner;Dr. Carolin Hallmann,,,52.4872926,13.3259046
,veterinary,,,,,,,,,,,,52.4873166,13.6046801
Valera,veterinary,,,,,,https://valera.vet/,,24/7,,,,52.4338095,13.2466898
Tieraztpraxis am Tierheim Berlin,veterinary,Hausvaterweg,39,,,+493093662200,https://tierarztpraxis-am-tierheim.de/,,"Mo-Fr 10:00-20:00; Sa,Su 10:00-17:00; PH 11:00-14:00",,,,52.5743133,13.5465736
Praxis für Tierzahnheilkunde,veterinary,Soorstraße,76,14050,Berlin,,https://rux.vet/,,"""nach Vereinbarung""",Dr. med. vet. Helmut Rux,,,52.5134999,13.2774866
Tierarztpraxis Birkenstein  Dr. med. vet H. Fuhrmann und Team,veterinary,,,,,,,,"Mo-Fr 09:30-11:00, Mo,Tu,Th,Fr 16:30-19:00, Sa 14:00-16:00",,,,52.5211838,13.6465809
Tierarztpraxis Alt-Buch,veterinary,Alt-Buch,57,13125,Berlin,+4930 911 42 778,https://www.tierarztpraxis-alt-buch.de/,,"Mo,Fr 09:00-16:00; Tu-Th 09:00-12:00, Tu,Th 16:00-19:00; Sa[1] 10:00-12:00; PH off",Tierärztin Lydia Klemer,,,52.636563,13.5022262
Ute Teutenberg,veterinary,,,,,+49 30 37588910,,,"Mo-Fr 08:00-12:00,15:00-18:00; We 08:00-12:00,17:00-20:00",,no,,52.5507862,13.1685048
Tierarzt Bello & Co.,veterinary,,,,,,https://belloundco.de/,,,,,,52.425741,13.4838753
Tierarztpraxis Dr. Pollmann,veterinary,Berliner Straße,17,,,+493081099440,https://tierarztpraxis-pollmann.de,,"Tu, Th 09:00-15:00; We, Fr 13:00-19:00; Sa 11:00-16:00",,,,52.4361962,13.2660844
Dr. Fenina + Burwieck,veterinary,Manteuffelstraße,74,12103,,+493063314227,https://meintierarzt.berlin,,,,,,52.4678078,13.3783605
Rex,veterinary,,,,,,https://www.rex.app/,,Mo-Fr 08:00-20:00,,yes,,52.5073508,13.4569833
Tierärztliche Gemeinschaftspraxis,veterinary,Hohenzollerndamm,185,10713,Berlin,,https://www.tierarztpraxis-berlin.net/,,,Antje Stolle-Malorny;Jens Vöster;Dr. med. vet. Iris Vöster,,,52.491509,13.3183436
Rex Tierarztpraxis,veterinary,Hermannstraße,227,12049,Berlin,,,,Mo-Sa 08:00-20:00,,,,52.4807206,13.425592
Kleintierkardiologie Tempelhof,veterinary,Burgemeisterstraße,34,12103,Berlin,+49 30 47006869,https://www.kardiobewegt.berlin/,,Mo-Th 08:00-18:00; PH off,Sinah Dohlen,yes,,52.4583689,13.3734169
Tierarztpraxis Kutzner,veterinary,Zum Kappgraben,13,13125,Berlin,+49 30 94382030,https://tierarzt-kutzner.de/,,"Mo-We,Fr 09:00-12:00,16:30-19:30; Th,Sa 09:00-12:00",,,,52.6164598,13.4890268
"Tierarztpraxis - Dr. med. vet. Dirk Emmelmann, Dr. med. vet. Albrecht Fengler",veterinary,Max-Beer-Straße,7,,,0302426512,,,"Mo, Tu, Th, Fr 09:00-12:00, 15:00-19:00; We 15:00-19:00",,no,,52.5251722,13.408013
Tierarztpraxis & Katzenbetreuung am Botanischen Garten,veterinary,Tietzenweg,23,,,+49 30 32294480,https://www.tierarztpraxis-botanischergarten.de,,"Mo, We 10:00-19:00; Tu, Th 08:30-14:00; Sa 10:00-12:00; Fr 10:00-14:00",Daniela Friedrich,,,52.4456015,13.3020665
Janine Bräuer,veterinary,Krüllsstraße,5,12435,Berlin,,,,"Mo 10:00-12:00,13:00-16:00; Tu 16:00-19:00; We 12:00-17:00; Fr,Sa 10:00-12:00; Th,Su off",Janine Bräuer,,,52.4922101,13.447823
Tierärztezentrum Birte Nannen,veterinary,Schlierbacher Weg,5,12349,Berlin,+49 30 25 92 17 88,https://www.tieraerztezentrum-nannen.de,,,,,,52.4160917,13.4047411
Praxis für Kleine Haustiere Dr. Niels Lösch,veterinary,,,,,+49309866411,,info@tierarzt-drloesch.de,"Mo-We, Fr 10:00-12:00; Mo, Tu, Th 16:00-19:00; Fr 16:00-18:00; Sa 11:00-12:30",,,,52.5399544,13.4849492
Dr. Pastor,veterinary,Brüsseler Straße,52a,13353,Berlin,,https://www.tierarztpraxis-pastor.de/,,"Mo-Fr 09:00-11:00,16:00-19:00; Sa,Su 14:00-16:00",,,,52.5486928,13.3531883
Sonnenberg,veterinary,,,,,,,,,,,,52.4406394,13.6866147
Tierarztpraxis am Wasserturm,veterinary,Rykestraße,4,10405,,,https://www.tierarztpraxis-wasserturm.de/,,,,,,52.5350637,13.419688
Das Veterinärmedizinische Zentrum Berlin,veterinary,Scharnweberstraße,136,13405,Berlin,0049304127357,https://www.vetzentrum-berlin.de/,info@vetzentrum-berlin.de,24/7,Kai S. Rödiger,,,52.56383603359543,13.32589838500037
Zete Marton,veterinary,Alt-Reinickendorf,37,13407,Berlin,,,,"Mo-Fr 09:00-12:00, Mo,Th 16:00-19:00, Tu,We,Fr 15:00-18:00",,no,,52.574841677439466,13.351276845661225
Tierärztlichen Klinik für Kleintiere,veterinary,Märkische Allee,258,12679,Berlin,,https://www.tierklinik-in-berlin.de/,,24/7,,yes,,52.5555553946766,13.553247578434865
Tierarztpraxis Kathrin Böhm,veterinary,Robert-Siewert-Straße,90,10318,Berlin,+49 30 32669736,,,"Th 10:00-18:00; Tu,We 10:00-19:00; Fr 10:00-15:00; Sa 10:00-15:00; Mo 10:00-17:00",Kathrin Böhm,limited,,52.49264998362304,13.536918159788693
Tierartzpraxis Gotthardt,veterinary,Winkler Straße,21,14193,Berlin,,,,,,,,52.48761569717588,13.26661586707658
Tierklinik Berlin-Biesdorf,veterinary,Alt-Biesdorf,22,12683,Berlin,+49 30 5143760,https://www.tierklinik-in-biesdorf.de/,,"Mo-Fr 08:00-13:00,15:00-20:00; Sa 09:00-12:00",,no,yes,52.50873002296041,13.55573553415282
Tierarztpraxis Dr. Christine Mueller,veterinary,Südekumzeile,26E,13591,Berlin,+49 30 366 0128,http://tierarztpraxis-spandau.de/,christinemueller.berlin@web.de,,,,,52.53114943495089,13.148550095428309
