name,street,housenumber,postcode,city,opening_hours,brand,type,payment_credit_card,payment_debit_cards,payment_cash,payment_contactless,wheelchair,internet_access,layer,phone,email,website,latitude,longitude,source
REWE,Karl-Marx-Straße,92-98,12043,Berlin,Mo-Fr 07:00-24:00; Sa 07:00-23:30,Rewe,,,,,,yes,,,,,,52.4798626,13.4357683,
Aldi,Karl-Marx-Straße,92-98,12043,Berlin,Mo-Sa 07:00-21:00,Aldi Nord,,,,,,yes,,,,,,52.4797665,13.4362242,
Lidl,Märkische Allee,140A,12681,Berlin,Mo-Sa 07:00-21:00,Lidl,,,,,,yes,,,,,,52.5309093,13.5372987,
EDEKA Friedrich,Hellersdorfer Straße,83,12619,Berlin,Mo-Sa 07:00-21:00; PH off,EDEKA,,,,,,yes,,,+49 30 56292930,,https://www.edeka.de/eh/minden-hannover/edeka-friedrich-hellersdorfer-str.-83/index.jsp,52.5232644,13.5867296,
miniladen,,,,,Mo-Fr 08:00-19:30; Sa 08:30-17:30,,,,,,,no,,,,,,52.5488448,13.4092108,
Natur Pur,Frankfurter Allee,231,10365,Berlin,Mo-Fr 10:00-18:00; Sa 09:30-14:00,,,,,,,no,,,,,https://naturpurberlin.de/,52.5122262,13.495272,
REWE,,,10439,,Mo-Sa 08:00-22:00,Rewe,,yes,yes,yes,,yes,,,+49 30 346494100,,https://www.rewe.de/marktseite/berlin/8547534/rewe-markt-schoenhauser-allee-80,52.5493785,13.4161791,
HIT,Anton-Wilhelm-Amo-Straße,69,10117,Berlin,Mo-Fr 08:00-22:00; Sa 07:30-22:00,HIT,,yes,,,,yes,wlan,,,,,52.5117711,13.3839109,
Grüne Geiß,Allee der Kosmonauten,151,12685,Berlin,,,,,,,,yes,,,,,http://gruenegeiss.com,52.5345492,13.5513842,
Biomarkt Viverte,Glarner Straße,62,12205,Berlin,Mo-Sa 08:00-20:00,,,,,,,limited,,,,,,52.4271339,13.3027848,
Penny,Steglitzer Damm,20,12169,Berlin,Mo-Sa 07:00-22:00,Penny,,,,,,yes,,,,,,52.4507291,13.3393904,
EDEKA,,,12629,,Mo-Sa 07:00-21:00; PH off,EDEKA,,,,,,yes,,,,,,52.5383977,13.5901733,
Bio Company,,,,,Mo-Sa 08:00-21:00,Bio Company,,,,,,yes,,,,,,52.4935036,13.4220871,
Aldi,,,,,Mo-Sa 07:00-21:00,Aldi Nord,,,,,,yes,,,,,,52.4732677,13.290462,
Eurogida,,,,,Mo-Sa 07:00-20:00,,,,,,,yes,,,,,,52.5482851,13.3563325,
Aldi,Alexander-Meißner-Straße,1,12526,Berlin,Mo-Sa 07:00-21:00,Aldi Nord,,,,,,yes,,,+49 800 7234870,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/alexander-meissner-strasse-1/3182801,52.3972377,13.5415199,
Denns BioMarkt,,,,,Mo-Sa 08:00-20:00,Denns BioMarkt,,,,,,yes,,,,,,52.6110395,13.3179908,
REWE City,Bismarckstraße,68-69,12157,Berlin,Mo-Sa 06:00-22:00,REWE,,yes,,yes,,yes,,,+49 30 79785494,,https://www.rewe.de/marktseite/berlin-steglitz/4040012/rewe-markt-bismarckstr-68-69/,52.4617585,13.3396427,
Bio Company,,,,,Mo-Sa 08:00-21:00,Bio Company,,,,,,yes,,,,,,52.484614,13.433672,
Baskent,Föhrer Straße,13,,,,,,,,,,,,,,,,52.5417248,13.3496751,
Netto Marken-Discount,Alemannenstraße,40,14129,Berlin,Mo-Sa 07:00-21:00,Netto Marken-Discount,,,yes,yes,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Nikolassee/Alemannenstr-40/5308/,52.4296195,13.1930625,
EDEKA Stadie,Flankenschanze,32,13585,Berlin,Mo-Sa 07:00-21:00,Edeka,,,,,,yes,,,,,,52.5425148,13.197201,
Nahkauf,,,,,Mo-Sa 07:00-22:00,Nahkauf,,,,,,,,,,,,52.5768477,13.2781392,
Nahkauf,,,,,Mo-Fr 08:00-20:00; Sa 08:00-16:00,Nahkauf,,,,,,yes,,,+493070093672,,https://www.nahkauf.de/maerkte/berlin-42612416-thi-thanh-thao-nguyen-gersdorfer-str-40,52.4466275,13.371653,
Netto Marken-Discount,Hermannstraße,158a,12051,Berlin,Mo-Sa 08:00-22:00,Netto Marken-Discount,,,,,,yes,,,,,,52.4674769,13.4331094,
Ledo,Heerstraße,,14052,Berlin,Mo-Sa 09:00-20:00,,,,,,,yes,,,,,https://www.ledo-supermarkt.de/,52.5095102,13.2704127,
Intermarkt,Kienhorststraße,156,13403,Berlin,Mo-Sa 08:00-20:00,,,,,,,,,,,,,52.5747487,13.3146512,
Bio Company,Prenzlauer Allee,180,10405,Berlin,Mo-Sa 08:00-21:00,Bio Company,,,,,,yes,,,,,,52.5440207,13.4265698,
Netto City,Kurfürstenstraße,75,10787,Berlin,Mo-Fr 07:00-21:00; Mo-Sa 07:00-21:00,Netto City,,,,,,limited,,,,,https://www.netto-online.de/filialen/Berlin-Tiergarten/Kurfuerstenstr-75/7788/,52.503656,13.348668,
Edeka M. Fiebig,Kottbusser Damm,80,10967,Berlin,Mo-Sa 08:00-20:00,Edeka,,,,,,yes,,,+49306937139,,https://www.edeka.de/eh/minden-hannover/edeka-fiebig-kottbusser-damm-80/,52.4916049,13.4232761,
Rewe City,John-Schehr-Straße,20-24,10407,Berlin,Mo-Sa 07:00-22:00,Rewe,,,,,,yes,,,,,,52.5363423,13.4366983,
REWE,Hermannstraße,158a,12051,Berlin,Sa 08:00-23:30; Mo-Fr 08:00-00:00,Rewe,,,,,,yes,,,,,,52.4674138,13.4330094,
PENNY,Prenzlauer Allee,181,10405,Berlin,Mo-Sa 07:00-22:00,Penny,,,,,,no,,,,,,52.5437308,13.4264854,
EDEKA,Gartenfelder Straße,86,13599,Berlin,Mo-Sa 07:00-22:00,Edeka,,yes,,yes,,yes,,,,,,52.5434199,13.2406593,
Aldi,Heinrich-Heine-Platz,8-12,10179,Berlin,Mo-Sa 07:00-21:00,Aldi Nord,,,,,,yes,,,,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/heinrich-heine-platz-8-12/3181472,52.5065406,13.4162889,
Denns BioMarkt,Annenstraße,48,10179,Berlin,Mo-Sa 08:00-21:00,Denns BioMarkt,,yes,yes,yes,,yes,,,,,,52.5076492,13.4144581,
Go Asia,Alexanderplatz,8,10178,Berlin,Mo-Sa 09:00-22:00,Go Asia,,,,yes,,yes,,,+49 30 394 805 77,,https://goasia.net/de/store_list/berlin-alexanderplatz,52.5227661,13.4123665,
Nahkauf,Görresstraße,3,12161,Berlin,Mo-Sa 08:00-20:00,Nahkauf,,,,,,yes,,,,,,52.4734406,13.3275613,
Aldi,Prager Platz,2a,10779,Berlin,Mo-Sa 07:00-21:00,Aldi Nord,,,,,,yes,,,,,,52.4936482,13.3322422,
Penny,,,,,Mo-Sa 07:00-22:00,Penny,,,,,,yes,,,,,,52.4476974,13.3054039,
EDEKA,Hauptstraße,23,13158,Berlin,Mo-Sa 07:00-20:00,Edeka,,,,,,yes,,,,,,52.5865177,13.368014,
REWE,Kastanienallee,38,13158,Berlin,Mo-Sa 06:00-22:00,Rewe,,,,,,yes,wlan,,,,,52.5918344,13.3825893,
Asiamarkt,Friedrichstraße,10,10969,Berlin,Mo-Fr 10:00-18:00; Sa 10:00-14:00,,,,,,,yes,,,,,,52.501211,13.3916005,
Lekr,,,,,,,,,,,,no,,,,,,52.5311942,13.4331435,
Netto Marken-Discount,Egon-Erwin-Kisch-Straße,90,13059,Berlin,Mo-Sa 07:00-21:00,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Hohenschoenhausen/Egon-Erwin-Kisch-Str-90/7462/,52.5682048,13.5110287,
PENNY,Rostocker Straße,1,13059,Berlin,Mo-Sa 07:00-22:00,Penny,,,,,,yes,,,,,,52.5748726,13.5086192,
REWE,Ernst-Barlach-Straße,19,13059,Berlin,Mo-Sa 07:00-22:00,Rewe,,,,,,yes,,,,,,52.5749522,13.5096346,
EDEKA,Kolonnenstraße,10,10829,Berlin,Mo-Sa 08:00-18:00,Edeka,,,,,,yes,,,,,https://nah-und-gut-fischer.de/,52.485689,13.3617579,
nah und gut,Urbanstraße,183,10961,Berlin,Mo-Fr 07:00-21:00; Sa 08:00-21:00,EDEKA,,yes,yes,yes,,limited,,,,,,52.4945279,13.4005487,
Lidl,Knesebeckstraße,38,10719,Berlin,Mo-Sa 07:30-22:00,Lidl,,,,,,yes,,,,,,52.5007022,13.3213671,
Netto City,Pariser Straße,41,10707,Berlin,Mo-Sa 07:00-21:00,Netto City,,,,,,limited,,,,,https://www.netto-online.de/filialen/Berlin-Wilmersdorf/Pariser-Str-41/7783/,52.4981147,13.318263,
Azzam Supermarket,Sonnenallee,55,,,Mo-Sa 08:00-22:00,,,,,,,yes,,,,,,52.4852287,13.4332232,
EDEKA,Otto-Suhr-Allee,105,10585,Berlin,Mo-Sa 07:00-22:00,Edeka,,,,,,yes,,,,,,52.5169837,13.30707,
Kaufland,Karl-Marx-Straße,231-235,12055,Berlin,Mo-Sa 08:00-22:00; Su off,Kaufland,,,,,,yes,,,,,,52.4686658,13.4432574,
Nahkauf,Hirtsieferzeile,42-43,12351,Berlin,Mo-Sa 08:00-20:00,Nahkauf,,,,,,yes,,,+493061794522,,https://nahkauf.de/maerkte/berlin-42612377-hoang-tung-le-hirtsieferzeile-42-43,52.4311649,13.4696242,
EDEKA,,,,,Mo-Sa 07:00-21:00,Edeka,,,,,,yes,,,,,https://www.edeka.de/eh/minden-hannover/edeka-hennig-kollwitzstr.-68/index.jsp,52.5362791,13.4183615,
LPG BioMarkt,Kaiserdamm,12,14057,Berlin,Mo-Sa 09:00-20:00; PH off,LPG BioMarkt,,,,,,yes,,,,,,52.5107494,13.2896421,
Denns BioMarkt,Hauptstraße,11,10827,Berlin,Mo-Sa 08:00-21:00,Denns BioMarkt,,,,,,yes,,,+493076765320,,,52.4885102,13.3581546,
Lidl,Zeughofstraße,23A,10997,Berlin,Mo-Sa 07:00-22:00,Lidl,,,,,,yes,wlan,,,,,52.5007114,13.4347352,
Aldi,Joachim-Gottschalk-Weg,5,12353,Berlin,Mo-Sa 07:00-21:00,Aldi Nord,,,,,,yes,,,,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/joachim-gottschalk-weg-5/3182646,52.4230711,13.4763895,
EDEKA,Joachim-Gottschalk-Weg,23,12353,Berlin,Mo-Sa 07:00-22:00,Edeka,,,,,,yes,,,,,,52.4229979,13.4762316,
Edeka Brehm City,,,,,Mo-Sa 08:00-20:00,Edeka,,,,,,yes,,,,,,52.4945118,13.4208245,
PENNY,Brunnenstraße,75,13355,Berlin,Mo-Sa 07:00-22:00,Penny,,,,,,yes,,,,,,52.5423742,13.3932909,
Penny,Hellersdorfer Straße,77-83,12619,Berlin,"Mo-Fr 07:00-20:00; Sa 07:00-16:00; Su,PH off",Penny,,,,,,no,no,,,,https://www.penny.de,52.5213904,13.5872079,
EDEKA,Clayallee,330,14169,Berlin,Mo-Sa 07:00-22:00,Edeka,,,,yes,,yes,,,,,,52.4378334,13.2626638,
EDEKA,Rigaer Straße,44,10247,Berlin,Mo-Sa 07:00-23:00,Edeka,,,,,,yes,,,030 41723680,,,52.515536,13.468728,
EDEKA Wilmersdorfer Straße,Wilmersdorfer Straße,,10627,Berlin,"Mo-Sa 09:00-22:00; Su,PH off",Edeka,,,,,,yes,,,,,,52.5097406,13.305296,
Gneisenau Markt,Gneisenaustraße,84,10961,Berlin,Mo-Fr 07:00-20:00; Sa 08:00-21:00,Edeka,,,,,,yes,,,+49 30 6936126,,https://www.edeka.de/,52.4914049,13.3967142,
aima Supermarkt,,,,,,,,,,,,,,,,,,52.4296472,13.4655246,
REWE,Schönhauser Allee,36-39,10435,Berlin,Mo-Fr 07:00-00:00; Sa 07:00-23:00; PH off,Rewe,,yes,yes,yes,,yes,wlan,,,,,52.5387764,13.4127688,
Edeka Schmitt,,1,13187,Berlin,Mo-Sa 06:00-23:00,Edeka,,,,,,yes,,,,,,52.5671908,13.4105009,
LPG BioMarkt,Bouchéstraße,12,12435,Berlin,Mo-Sa 08:00-21:00,LPG BioMarkt,,yes,yes,yes,,yes,wlan,,+4930439739150,,,52.4921598,13.4510857,
Alnatura Super Natur Markt,Alte Jakobstraße,79-80,10179,Berlin,Mo-Fr 07:30-20:00; Sa 08:00-20:00; PH off,Alnatura,,,,,,yes,wlan,,,,,52.5101946,13.408035,
nah und gut,Düsseldorfer Straße,74,10719,Berlin,Mo-Fr 08:00-20:00; Sa 08:00-18:00,Edeka,,,,,,yes,,,,,,52.4950862,13.3235476,
Dr. Pogo,Karl-Marx-Platz,24,12043,Berlin,"Mo,Tu,Th,Fr 09:00-20:00; We 12:00-20:00; Sa 09:00-16:00; Su,PH off",,,,,,,limited,,,,kontakt@veganladen-kollektiv.net,,52.4739742,13.443147,
Denns BioMarkt,Kaiserdamm,112,14057,Berlin,Mo-Sa 08:00-21:00,Denns BioMarkt,,,,,,yes,,,,,,52.5104649,13.2932481,
REWE voll pflanzlich,Warschauer Straße,33,10243,Berlin,Mo-Sa 07:00-22:00,Rewe,,yes,yes,yes,yes,yes,wlan,,,,,52.5077097,13.4499426,
REWE,Mehrower Allee,20,12687,Berlin,Mo-Sa 07:00-22:00,Rewe,,,,,,yes,,,,,,52.5557728,13.5584686,
REWE City,Angerburger Allee,45,14055,Berlin,"Mo-Sa 07:00-22:00; Su,PH off",REWE,,,,,,yes,,,,,,52.5093116,13.2223259,
Lidl,Blankenburger Chaussee,10,13125,Berlin,Mo-Sa 07:00-21:00; Su off,Lidl,,,,,,yes,,,+49 800 4353361,,https://www.lidl.de/filialen/berlin-pankow/karow-blankenburger-chaussee-10.html,52.6079352,13.4780321,
Denns BioMarkt,Clayallee,177,14195,Berlin,Mo-Sa 08:00-20:00,Denns BioMarkt,,,,,,yes,,,,,,52.4512862,13.2700949,
Denns BioMarkt,,,,,Mo-Sa 09:00-21:00,Denns BioMarkt,,,,,,yes,,,,,,52.5340278,13.1960288,
Mały Książę,Lilienthalstraße,6,,Berlin,,,,,,,,no,,,,,,52.4880408,13.4075593,
Eurogida,Tempelhofer Damm,2,12101,Berlin,Mo-Sa 08:00-20:00; PH closed,,,yes,yes,yes,,yes,,,,,,52.4841209,13.3853942,
Düzgün,,,,,Mo-Sa 08:00-20:00,,,,,,,no,,,,,,52.4781117,13.4478681,
EDEKA Meissner an der Nolle,Nollendorfplatz,8-9,10777,Berlin,"Mo-Fr 06:00-24:00; Sa 06:00-23:30; PH-1 day 06:00-23:30; Su,PH off",Edeka,,,,yes,yes,yes,,,+49 30 21751895,,https://www.edeka.de/eh/minden-hannover/edeka-meissner-nollendorfplatz-8-9/,52.4989336,13.3545583,
Bolu,Kottbusser Damm,75,10967,Berlin,Mo-Fr 07:00-20:00; Sa 07:00-18:00,,,,,,,limited,,,,,http://www.bolu-lebensmittel.de/,52.4904265,13.4239981,
Alnatura Super Natur Markt,Giesebrechtstraße,4,10629,Berlin,Mo-Sa 07:30-21:00; PH off,Alnatura,,,,,,yes,,,,,https://www.alnatura.de/de-de/alnatura-maerkte/alnatura-filialen-detailseiten/b/berlin-alnatura-super-natur-markt-b085,52.5022111,13.3091666,
Eurogida,Wrangelstraße,85,10997,Berlin,Mo-Sa 08:30-20:00,,,,,,,limited,,,,,,52.4989417,13.4413763,
Rewe,Hubertusdamm,56,13125,Berlin,Mo-Sa 07:00-22:00; PH off,Rewe,,,,,,yes,,,+49 30 94393679,,,52.6164939,13.4716787,
Go Asia,Kantstraße,10,10627,Berlin,Mo-Sa 09:00-21:00,Go Asia,,,,,,limited,,,,,https://goasia.net/filiale-berlin-kantstr/,52.5065737,13.3027807,
Elmas Market,Stuttgarter Platz,11,10627,Berlin,,,,,,,,yes,,,,,,52.5057107,13.303342,
EDEKA,Blissestraße,36,10713,Berlin,Mo-Fr 08:00-20:00; Sa 08:00-18:00,EDEKA,,,,,,yes,,,,,,52.4820455,13.3198796,
EDEKA Jost,Kantstraße,24,10623,Berlin,Mo-Fr 07:30-20:00; Sa 07:00-20:00,Edeka,,yes,yes,yes,,yes,wlan,,,,,52.5061041,13.3203142,
EDEKA,Danckelmannstraße,57-60,14059,Berlin,Mo-Sa 07:00-22:00,Edeka,,,,,,limited,,,,,,52.5176758,13.290531,
FrischeParadies,Morsestraße,2,10587,Berlin,"Mo-Fr 08:00-20:00; Sa 08:00-18:00; Su,PH off",,,,,,,yes,,,,,,52.5216418,13.3213662,
Netto,Belforter Straße,20,10405,Berlin,Mo-Sa 07:00-21:00,Netto,,,,,,yes,,,,,,52.5321413,13.4195614,
Denns BioMarkt,Bernauer Straße,50,10435,Berlin,Mo-Sa 09:00-22:00,Denns BioMarkt,,yes,yes,yes,,yes,,,,,https://www.denns-biomarkt.de/34524_Berlin_Mitte.html,52.5402635,13.4041362,
Denns BioMarkt,Mühsamstraße,54,10249,Berlin,Mo-Sa 08:00-21:00,Denns BioMarkt,,,,,,yes,,,,,,52.5202002,13.451403,
Aldi,Elcknerplatz,8,12555,Berlin,Mo-Sa 08:00-21:00; PH off,Aldi Nord,,,,,,yes,,,+49 800 7234870,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/elcknerplatz-8/3181227,52.4580641,13.5804025,
Alnatura Super Natur Markt,,,,,Mo-Sa 08:00-21:00; PH off,Alnatura,,,,,,yes,,,,,,52.489356,13.3977479,
Denns BioMarkt,Chausseestraße,21,14109,Berlin,,Denns BioMarkt,,,,,,yes,,,,,,52.4178538,13.1472245,
REWE City,Theodor-Heuss-Platz,6,14052,Berlin,Mo-Sa 07:00-22:00,Rewe,,,,,,yes,wlan,,,,https://www.rewe.de/,52.5101504,13.2727188,
Bio Company,Brunnenstraße,6,10119,Berlin,"Mo-Sa 08:00-21:00; Su,PH off",Bio Company,,,,,,yes,,,,,,52.530752,13.4005851,
REWE City,Litfaß-Platz,4,10178,Berlin,"Mo-Fr 07:00-24:00, Sa 07:00-23:00; 2024 May 23-2024 Nov 21 off",Rewe,,yes,yes,,,yes,wlan,,,,https://www.rewe.de/marktseite/rewe-city-markt-berlin-litfa%C3%9F-platz-4/,52.5224239,13.403453,
Bio Company,Friedrichstraße,136,10117,Berlin,"Mo-Sa 08:00-21:00; Su,PH off",Bio Company,,,,yes,,yes,,,,,,52.5229073,13.3875704,
Kostbar,Leonhardtstraße,2,14057,Berlin,,,,,,,,no,,,,,,52.5049627,13.2986626,
Bio Company,Hauptstraße,"31,32",10827,Berlin,Mo-Sa 08:00-21:00; Su off,Bio Company,,,,,,yes,,,,,,52.4849708,13.3533641,
Sengül Market,Triftstraße,5,13353,Berlin,,,,,,,,yes,,,,,,52.5444869,13.3600595,
Denns BioMarkt,Rosenthaler Weg,78,13127,Berlin,Mo-Sa 08:00-20:00,Denns BioMarkt,,,,,,yes,,,+49 30 40531346,,https://www.denns-biomarkt.de/berlin-rosenthaler-weg-78/marktseite/,52.607372,13.4291329,
Edeka Bergmannstraße,Bergmannstraße,5,10961,Berlin,Mo-Fr 07:00-24:00; Sa 07:00-23:30; PH off,Edeka,,,,,,yes,,,,,https://www.edeka.de/eh/minden-hannover/edeka-bergmannstra%C3%9Fe-bergmannstr.-5-7/index-2.jsp,52.4896784,13.3884205,
Netto Marken-Discount,Bergmannstraße,5,10961,Berlin,Mo-Sa 07:00-22:00; PH off,Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Kreuzberg/Bergmannstr-5/7760/,52.4896657,13.3889289,
Aldi,,,,,Mo-Sa 07:00-21:00,Aldi Nord,,,,,,yes,,,,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/bornestrasse-25/3181603,52.5501198,13.4482607,
Landladen Kastaven,,,,,Mo-Fr 10:00-19:00; Sa 10:00-14:00,,,,,,,no,,,+49 30 98318884,,https://www.landladen-kastaven.de/,52.5383876,13.4809667,
Aldi,Alfred-Kowalke-Straße,3,10315,Berlin,Mo-Sa 07:00-21:00,Aldi Nord,,,,,,yes,,,,,,52.504406,13.516489,
bioso Naturkost und Café,Tempelhofer Damm,209,12099,Berlin,Mo-Fr 09:00-19:00; Sa 09:00-14:00,,,,,,,,,,,info@bioso.de,,52.4573377,13.3842847,
Norma,Anton-Saefkow-Platz,8,10369,Berlin,Mo-Sa 07:00-21:00,Norma,,,,,,yes,,,,,,52.5284516,13.4715787,
EDEKA,Tauernallee,30-58,12107,Berlin,Mo-Sa 07:00-21:00,EDEKA,,,,,,yes,,,,,,52.4257885,13.4014959,
Lidl,Kleiststraße,3-6,10787,Berlin,Mo-Sa 08:00-22:00,Lidl,,,,,,limited,,,+49 800 4353361,,https://www.lidl.de/filialen/berlin-tempelhof-schoeneberg/schoeneberg-kleiststr-3---6.html,52.500453,13.3507381,
Netto Marken-Discount,Rabensteiner Straße,36,12689,Berlin,"Mo-Sa 07:00-22:00; Su,PH off",Netto Marken-Discount,,,,,,yes,,,,,https://www.netto-online.de/filialen/Berlin-Marzahn/Rabensteiner-Str-36/5256/,52.5650977,13.5771241,
LPG BioMarkt,Albrechtstraße,33,12167,Berlin,Mo-Sa 08:00-21:00,LPG BioMarkt,,,,,,yes,,,,,,52.452429,13.3322395,
Vinh-Loi Asien-Supermarkt,Gutsmuthsstraße,23-24,12163,Berlin,Mo-Sa 09:00-19:00,,,yes,yes,,,yes,,,+49 (0)30 8593678,,,52.4644899,13.325733,
Vinh-Loi,Müllerstraße,141,13353,Berlin,Mo-Sa 09:00-20:00; PH closed,,,,,,,limited,,,,hung@vinhloi.de,,52.5488826,13.3536252,
EDEKA,Oraniendamm,6-10,13469,Berlin,Mo-We 07:00-20:00; Th-Sa 07:00-21:00,Edeka,,,,,,yes,,,,,,52.6072867,13.3264979,
Lidl,Oraniendamm,6-10,13469,Berlin,Mo-Sa 07:00-21:00,Lidl,,,,,,,,,,,,52.6077274,13.3260991,
Bahia,Wrangelstraße,49,10997,Berlin,Mo-Fr 12:00-19:00; Sa 12:00-16:00,,,,,,,no,,,,,,52.4989369,13.4407853,
Biotopia,Wrangelstraße,49,10997,Berlin,Mo-Fr 08:30-19:00; Sa 08:30-18:00,,,,,,,yes,,,,,,52.4989027,13.4408724,
Lidl,Stresemannstraße,72-78,,Berlin,Mo-Sa 07:00-22:00,Lidl,,,,,,yes,,,,,,52.503844,13.3837544,
Norma,Paradiesstraße,212,12526,Berlin,Mo-Sa 07:00-21:00,Norma,,,,,,,,,,,,52.4040318,13.5597507,
Doğan Supermarkt,Beusselstraße,76,10553,Berlin,,,,,,,,yes,,,,,,52.5277045,13.3283116,
PENNY,Dominicusstraße,37,10827,Berlin,Mo-Sa 07:00-22:00; 2025 Jul 22 - 2025 Oct 31 off,Penny,,,,,,yes,,,,,https://www.penny.de/markt/berlin/4030388/penny-schoeneberg-dominicusstr-37,52.4811176,13.350501,
Kaufland,Senftenberger Ring,15,13439,Berlin,Mo-Sa 07:00-22:00,Kaufland,,,,,,yes,,,,,,52.599201,13.3541666,
EDEKA,Laubacher Straße,13,14197,Berlin,Mo-Fr 08:00-19:00; Sa 08:00-14:00; PH off,Edeka,,,,yes,,limited,,,,,,52.4711485,13.3203023,
Edeka,Wendenschloßstraße,324,12557,Berlin,"Mo-Sa 07:00-22:00; Su,PH off",Edeka,,,,,,yes,,,,,,52.4283689,13.5844098,
EDEKA Fromm,Gerlinger Straße,4,12353,Berlin,Mo-Sa 07:00-21:00,EDEKA,,,,,,yes,,,,,https://www.edeka.de/eh/minden-hannover/edeka-fromm-gerlinger-str.-4/index-2.jsp,52.4176314,13.436224,
Netto,Ribnitzer Straße,24,13051,Berlin,Mo-Sa 08:00-21:00,Netto,,,,,,yes,,,,,https://netto.de/geschaefte/berlin/ribnitzer-strasse-24/e75d5d1a6abf4598840d643a9633759e/,52.5702733,13.4959871,
Bio Company,Babelsberger Straße,52,10715,Berlin,Mo-Sa 08:00-21:00,Bio Company,,,,,,yes,,,030 3 25 14 22 1 00,,https://www.biocompany.de/,52.4878673,13.3354416,
bio goods,Kastanienallee,101,10435,Berlin,,,,yes,yes,yes,,,,,,,,52.5397397,13.4111921,
Kosherlife Koshere Lebensmittel,Brunnenstraße,31,10115,Berlin,Mo-Th 08:00-19:00; Fr 08:00-16:00,,,,,,,yes,,,+491796745908,,http://kosherlife.de/,52.5348578,13.3983347,
EDEKA Rübel,Hohefeldstraße,21;23;25;27,13467,Berlin,Mo-Sa 07:00-22:00,EDEKA,,,,,,yes,,,,,,52.6225702,13.3032601,
Bolu,Residenzstraße,31,13409,Berlin,,,,,,,,yes,,,+493049851041,,http://www.bolu-lebensmittel.de,52.5678172,13.3619052,
Kaufland,Müllerstraße,123-125,13349,Berlin,Mo-Sa 07:00-22:00,Kaufland,,,,,,limited,,,,,https://www.kaufland.de/,52.5531171,13.3462318,
Netto Marken-Discount,Treskowallee,115,10318,Berlin,Mo-Sa 07:00-21:00,Netto Marken-Discount,,,,,,yes,,,,,,52.4803165,13.5255093,
Bio Company,Breite Straße,34,13187,Berlin,Mo-Sa 08:00-20:00,Bio Company,,,,,,yes,,,,,,52.5697666,13.4065329,
Lidl,Seesener Straße,10-13,10709,Berlin,Mo-Sa 08:00-22:00,Lidl,,yes,yes,yes,,yes,,,,,https://www.lidl.de/,52.4915993,13.2982267,
Bio Company,Fehrbelliner Platz,5,10707,Berlin,Mo-Sa 08:00-20:00,Bio Company,,,,,,yes,,,,,,52.4907007,13.3129177,
Nahkauf,Liebenowzeile,29,12167,Berlin,Mo-Sa 07:30-20:00,Nahkauf,,,,,,yes,,,,,,52.4493498,13.349913,
NP,Kastanienallee,8,12627,Berlin,Mo-Sa 07:00-20:00,NP,,,,,,yes,,,,,,52.5367725,13.6017513,
Netto Marken-Discount,Am Treptower Park,40,12435,Berlin,Mo-Sa 07:00-20:00,Netto Marken-Discount,,,,,,,,,,,https://www.netto-online.de/filialen/Berlin-Treptow/Am-Treptower-Park-40/7661/,52.4855611,13.4659156,
Denns BioMarkt,Joachim-Friedrich-Straße,17,10711,Berlin,Mo-Sa 08:00-21:00,Denns BioMarkt,,,,,,yes,,,,,,52.4986354,13.2965708,
Lidl,Potsdamer Straße,203,,,Mo-Sa 07:00-22:00,Lidl,,,,,,yes,,,,,,52.4917687,13.3611473,
Eurogida,Bundesallee,180,10717,Berlin,,,,,,,,yes,,,,,https://www.eurogida.de,52.4876912,13.3315231,
Indomarkt,Reinickendorfer Straße,118,,,Mo-Sa 11:00-18:00; PH off,,,,,,,yes,,,,,https://www.indomarkt.com/,52.5425485,13.3695233,
Aldi,Unter den Eichen,97,12203,Berlin,Mo-Sa 07:00-21:00,Aldi Nord,,,,,,,,,,,https://www.aldi-nord.de/filialen-und-oeffnungszeiten.html/l/berlin/unter-den-eichen-97/3181547,52.4453954,13.2945295,
Lidl,Tempelhofer Damm,187-191,12099,Berlin,Mo-Sa 07:00-21:00,Lidl,,,,,,,,,,,,52.4595809,13.3850549,
Kaufland,Walter-Friedrich-Straße,4,13125,Berlin,Mo-Sa 07:00-22:00; PH off,Kaufland,,,,,,yes,,,+49 30 943936180,,https://www.kaufland.de/,52.6345809,13.495938,
Ledo,Forckenbeckstraße,1,14199,Berlin,Mo-Sa 09:00-20:00,,,,,,,yes,,,,,,52.4794195,13.3098357,
REWE City,Friedrichstraße,67-70,10117,Berlin,Mo-Sa 08:00-22:00,Rewe,,yes,yes,,,yes,wlan,,,,https://www.rewe.de/,52.5125166,13.3904663,
Norma,Bremer Straße,9,10551,Berlin,Mo-Fr 08:00-20:00; Sa 08:00-18:00,Norma,,,,,,yes,,,,,,52.5276005,13.3388208,
