name,type,street,housenumber,postcode,city,opening_hours,phone,website,wheelchair,latitude,longitude,osm_id,osm_type,source,district_id
Mrs. Sporty,fitness_centre,,,,Berlin,,,https://www.mrssporty.de/club/berlin-kudamm-charlottenburg/,unknown,52.4978459,13.3002669,5051041622,node,OSM Overpass,
Yoga Vidya Center Berlin-Wilmersdorf,fitness_centre,Pfalzburger Straße,43,10717.0,Berlin,,,,unknown,52.4894447,13.3213517,5082292600,node,OSM Overpass,
Active Ladies,fitness_centre,Zingster Straße,4,13051.0,Berlin,,+49 30 36 74 50 60,http://www.active-ladies.de,unknown,52.5648847,13.5039111,5147968721,node,OSM Overpass,
Power Factory GmbH,fitness_centre,Tangermünder Straße,129,12627.0,Berlin,,,https://www.powerfactory-berlin.de/,unknown,52.5377691,13.609346,5248623193,node,OSM Overpass,
Ladycompany,fitness_centre,,,,Berlin,"Mo-Fr 08:00-22:00; Sa,Su 10:00-20:00; PH 10:00-16:00",,http://www.ladycompany.de/frauenfitness-studios-berlin/,unknown,52.5419445,13.5421497,5248861547,node,OSM Overpass,
Tayopi,fitness_centre,Sonnenallee,147,12059.0,Berlin,,,,unknown,52.4789617,13.4460611,5321891322,node,OSM Overpass,
Holmes Place,fitness_centre,,,,Berlin,,,,unknown,52.485211,13.4214152,5337021037,node,OSM Overpass,
Yoga,fitness_centre,,,,Berlin,,+49 162 65828241,,unknown,52.5530222,13.4017754,5339159802,node,OSM Overpass,
Yoga Barn,fitness_centre,Münsterlandstraße,5,10317.0,Berlin,Mo 08:30-21:30; Tu 08:00-21:30; We 06:30-21:30; Th 07:30-21:30; Fr 07:00-21:30; Sa 10:30-19:30; Su 10:30-21:00,,,unknown,52.505358,13.4889231,5348822589,node,OSM Overpass,
sportraum bs,fitness_centre,,,,Berlin,,,https://www.sportraum-berlin.de/,unknown,52.4847501,13.3359151,5396107633,node,OSM Overpass,
Slim-Gym Club,fitness_centre,Chausseestraße,51,10115.0,Berlin,"Mo,Tu,Th,Fr 08:00-20:00; We 12:00-20:00; Sa 10:00-15:00",+49 30 30881255,https://www.slim-gym.de/,yes,52.5354955,13.3772335,5424563451,node,OSM Overpass,
FitX,fitness_centre,Oraniendamm,6-10,13469.0,Berlin,24/7,,,unknown,52.607932,13.3254356,5443162245,node,OSM Overpass,
FitX,fitness_centre,,,,Berlin,Mo-Su 00:00-24:00,,,unknown,52.4538703,13.3874764,5525155938,node,OSM Overpass,
Argo Athletics,fitness_centre,Mühlenstraße,62;63;64;65,13187.0,Berlin,,,https://www.argo-athletics.de/,unknown,52.5642337,13.4095229,5552228830,node,OSM Overpass,
Evo Berlin Rosa,fitness_centre,Rosa-Luxemburg-Straße,14,10178.0,Berlin,"PH,Mo-Su 06:00-23:00",,,no,52.524584,13.410259,5656522305,node,OSM Overpass,
Berlin Hot Yoga,fitness_centre,,,,Berlin,,,,unknown,52.5079023,13.4695348,5659022957,node,OSM Overpass,
Boxsport Berlin e.V.,fitness_centre,,,,Berlin,Mo-Fr 14:30-22:00,,,unknown,52.4965751,13.3611761,5718697030,node,OSM Overpass,
Casa Flow Studios,fitness_centre,Suarezstraße,13,14057.0,Berlin,,,,unknown,52.5080622,13.295478,5730290887,node,OSM Overpass,
Mrs. Sporty,fitness_centre,,,,Berlin,Mo-Su 06:00-22:00,,,no,52.5133825,13.2651845,5796921707,node,OSM Overpass,
Casa de Quilombo,fitness_centre,,,,Berlin,,,,unknown,52.5649347,13.4101265,5825069584,node,OSM Overpass,
Unknown Gym,fitness_centre,,,,Berlin,,,,unknown,44.2280892,-72.5514887,5901750491,node,OSM Overpass,
Just Fit,fitness_centre,Steinstraße,5,10119.0,Berlin,,,,no,52.5266763,13.4062541,5913018282,node,OSM Overpass,
Mrs. Sporty,fitness_centre,Rostocker Straße,15,13059.0,Berlin,,,https://www.mrssporty.de/club/berlin-wartenberg/,unknown,52.5745393,13.5096069,5916346085,node,OSM Overpass,
Kreuzberg Yoga,fitness_centre,Lübbener Straße,9,10997.0,Berlin,,,,unknown,52.4989674,13.437719,5980998064,node,OSM Overpass,
Zentrum für Yoga und Stimme,fitness_centre,Paul-Lincke-Ufer,30,10999.0,Berlin,,,,unknown,52.4955816,13.426096,5981095822,node,OSM Overpass,
Fitbox,fitness_centre,Karl-Marx-Straße,108,12043.0,Berlin,Mo-Fr 09:00-20:00; Sa 09:00-16:00,,,yes,52.4788359,13.4373568,5985950308,node,OSM Overpass,
Clever fit,fitness_centre,Martin-Buber-Straße,12,14163.0,Berlin,Mo-Fr 06:00-23:00; Sa-Su 09:00-20:00,+49 3080582180,https://www.clever-fit.com/fitness-studios/clever-fit-berlin-zehlendorf/,unknown,52.4350839,13.2582451,6006913091,node,OSM Overpass,
iyengaryoga,sports_centre,,,,Berlin,,,,no,52.5217464,13.4465225,6027199452,node,OSM Overpass,
FitX,fitness_centre,Tamara-Danz-Straße,11,10243.0,Berlin,24/7,,,unknown,52.5058788,13.4455578,6029322205,node,OSM Overpass,
FitX,fitness_centre,Oderbruchstraße,14,10369.0,Berlin,24/7,+49 201 8067457200,,unknown,52.5304776,13.4617302,6141321914,node,OSM Overpass,
Paramount Fitness,fitness_centre,Puderstraße,8,12435.0,Berlin,"Mo,We,Fr 10:00-22:00; Tu,Th 08:00-22:00; Sa-Su 10:00-18:00",+49 30 5300747-8,https://paramount-fitness.de/,unknown,52.4845339,13.4625301,6217415536,node,OSM Overpass,
Iyengar Yoga Zentrum,fitness_centre,Hochkirchstraße,9/2,10829.0,Berlin,,,https://www.iyengar-yoga-zentrum-berlin.de/,no,52.4905624,13.3694456,6245373115,node,OSM Overpass,
taohealth,fitness_centre,Wittelsbacherstraße,37,10707.0,Berlin,,,https://www.taohealth.de/standorte.html,unknown,52.4937501,13.3172922,6249985337,node,OSM Overpass,
FitX,fitness_centre,Weißenhöher Straße,108,12683.0,Berlin,24/7,,https://www.fitx.de/studio/berlin-biesdorf,unknown,52.5062441,13.5602985,6261885939,node,OSM Overpass,
Gelber Raum,fitness_centre,Mariannenstraße,48,10997.0,Berlin,,,https://yellow-yoga.com/,unknown,52.5007181,13.4239752,6269985404,node,OSM Overpass,
Yoga Pankow,fitness_centre,,,,Berlin,,,http://www.yoga-pankow.de/,unknown,52.5484219,13.4096666,6287061378,node,OSM Overpass,
Afra Senter,fitness_centre,,,,Berlin,,,https://afrasentner.de/,unknown,52.5530718,13.4037515,6339499872,node,OSM Overpass,
Lotos Yoga,fitness_centre,,,,Berlin,,,,no,52.5136199,13.4627564,6357893262,node,OSM Overpass,
Fitbox,fitness_centre,Bölschestraße,45,12587.0,Berlin,Mo-Fr 08:30-21:00; Sa 10:00-16:00,+493064958262,,no,52.4528952,13.6253449,6388113852,node,OSM Overpass,
Urban Street Gym,fitness_centre,Bouchéstraße,12,12435.0,Berlin,Mo-Sa 10:00-20:00,,,unknown,52.4938947,13.4487446,6398137732,node,OSM Overpass,
Fitness First,fitness_centre,Frankfurter Allee,57,,Berlin,Mo-Sa 07:00-22:00,,,no,52.5148233,13.465678,6414803768,node,OSM Overpass,
Slim-Gym,fitness_centre,Alt-Moabit,92,10559.0,Berlin,"Mo,Tu,Th,Fr 08:00-20:00; We 12:00-20:00; Sa 10:00-14:00; Su off",,,no,52.5250018,13.3445657,6415868985,node,OSM Overpass,
skyfit-Club,fitness_centre,Hellersdorfer Straße,83,12619.0,Berlin,Mo-Fr 07:00-22:00; Sa-Su 09:00-20:00; PH 09:00-20:00,+49 30 56493956,https://www.skyfit-club.de/hellersdorf/,yes,52.5231862,13.5864319,6421090392,node,OSM Overpass,
Fitnessstudio TU Sport,fitness_centre,Straße des 17. Juni,145,10623.0,Berlin,Mo-Fr 08:30-23:00; Sa 11:30-21:15; Su 10:30-20:16,,,unknown,52.5122911,13.3238482,6447122889,node,OSM Overpass,
Dharma Yoga,fitness_centre,Kienitzer Straße,98,12049.0,Berlin,,,,unknown,52.4763605,13.4254971,6451531078,node,OSM Overpass,
Steglitzer Dance & Aerobic Center,fitness_centre,Lepsiusstraße,14,12163.0,Berlin,"""Kurstermine""",,https://www.sdac.de/,unknown,52.464957,13.3210363,6458744287,node,OSM Overpass,
Aum Yoga Studio,fitness_centre,Nassauische Straße,62,10717.0,Berlin,,,,unknown,52.4927896,13.3268218,6469985311,node,OSM Overpass,
McFit,fitness_centre,Altonaer Straße,59-61,13581.0,Berlin,24/7,+493035104984,http://www.mcfit.com/,unknown,52.5318788,13.1874325,6497580485,node,OSM Overpass,
Fit Star,fitness_centre,Turmstraße,29,10551.0,Berlin,24/7,,,unknown,52.5265415,13.341843,6508696785,node,OSM Overpass,
John & Jane‘s,fitness_centre,Rosenthaler Straße,63,,Berlin,,,,unknown,52.5279738,13.4029924,6550896785,node,OSM Overpass,
Clever fit,fitness_centre,Helene-Weigel-Platz,5,12681.0,Berlin,,,,unknown,52.5281086,13.5389857,6563440585,node,OSM Overpass,
FIT/ONE,fitness_centre,Müllerstraße,35,13353.0,Berlin,Mo-Su 06:00-00:00,+49 30 45028220,https://www.fit-one.de/berlin-wedding.html,unknown,52.5490334,13.3551586,6586374601,node,OSM Overpass,
Green Yoga,fitness_centre,Sredzkistraße,59,10405.0,Berlin,,,https://greenyoga.co/studio,unknown,52.5379127,13.4213383,6693475018,node,OSM Overpass,
Green Yoga,fitness_centre,Dietzgenstraße,56,13156.0,Berlin,Mo-Su 08:00-21:00,,,yes,52.5858073,13.4027986,6757633586,node,OSM Overpass,
Studio Glücksmama,fitness_centre,Döringstraße,2,10245.0,Berlin,Mo-Fr 09:00-18:00,,https://glücksmama.de,unknown,52.5063988,13.4623488,6759112267,node,OSM Overpass,
Fit/One,fitness_centre,Bautzener Straße,20-24,10829.0,Berlin,"PH,Mo-Su 06:00-24:00",,https://www.fit-one.de,yes,52.492162,13.3713067,6789070129,node,OSM Overpass,
Sportetage,fitness_centre,Audre-Lorde-Straße,74,10997.0,Berlin,,,,unknown,52.5000182,13.4263004,6841151512,node,OSM Overpass,
Casa FLOW,fitness_centre,Prenzlauer Allee,38,10405.0,Berlin,,,,unknown,52.5350799,13.4222794,6853266785,node,OSM Overpass,
Iyengar Yoga,fitness_centre,Krumme Straße,61,10627.0,Berlin,,,,unknown,52.5094167,13.3097604,6899045752,node,OSM Overpass,
Forde Fitness,fitness_centre,Stresemannstraße,65,10963.0,Berlin,,,,unknown,52.5025396,13.3844025,7006749859,node,OSM Overpass,
Yoga im Gartenstudio,fitness_centre,,,,Berlin,,,,no,52.4790244,13.4518778,7057578051,node,OSM Overpass,
FitX,fitness_centre,Hauptstraße,141,10827.0,Berlin,24/7,,,unknown,52.4855668,13.3556988,7066762906,node,OSM Overpass,
InLight Yoga,fitness_centre,Hufelandstraße,23,10407.0,Berlin,,,,limited,52.5316555,13.4329339,7069825849,node,OSM Overpass,
EMS Sport und Bewegung,fitness_centre,Hufelandstraße,23,10407.0,Berlin,Mo-Fr 08:00-20:00; Sa 09:00-15:00,,,limited,52.5317118,13.432789,7069825850,node,OSM Overpass,
Makeda,fitness_centre,Pasteurstraße,20,10407.0,Berlin,,,,unknown,52.5331143,13.4340409,7095755738,node,OSM Overpass,
CrunchFit,fitness_centre,Pankstraße,32-39,,Berlin,"Mo-Su,PH 06:00-24:00",,,no,52.5494998,13.3778323,7133818467,node,OSM Overpass,
American Fitness,fitness_centre,Hermannplatz,10,10967.0,Berlin,"Mo-Fr 07:00-23:00; Sa, Su 08:00-22:00; PH 10:00-20:00",+49 30 69807090,http://american-fitness.org/berlin,unknown,52.4880071,13.4241071,7161037005,node,OSM Overpass,
Kindersport Sven Bora,fitness_centre,Dietrich-Bonhoeffer-Straße,17a,10407.0,Berlin,,,,unknown,52.5336363,13.4361377,7194124792,node,OSM Overpass,
yogi,fitness_centre,Dietrich-Bonhoeffer-Straße,17a,10407.0,Berlin,,,,unknown,52.5336164,13.4361912,7194124793,node,OSM Overpass,
yogaraum Am Richardplatz,fitness_centre,Hertzbergstraße,27,,Berlin,,,,unknown,52.4758032,13.4467666,7231134046,node,OSM Overpass,
Mrs. Sporty,fitness_centre,Hauptstraße,101B,13158.0,Berlin,,,,unknown,52.5954367,13.3746045,7239669952,node,OSM Overpass,
TSX Sportsclub,fitness_centre,,,,Berlin,,,,limited,52.50798,13.4668695,7252377721,node,OSM Overpass,
Formwandler,fitness_centre,Dunckerstraße,21,10437.0,Berlin,Mo-Fr 08:00-21:00; Sa-Su 10:00-15:00; PH off,,,unknown,52.5439907,13.4223608,7272720758,node,OSM Overpass,
Via Pilates,fitness_centre,Dunckerstraße,84,10437.0,Berlin,"""nach telefonischer Vereinbarung""",,,unknown,52.5416201,13.419718,7275474348,node,OSM Overpass,
House of Healing,fitness_centre,Dunckerstraße,70,10437.0,Berlin,"Fr,Sa 12:00-19:00; Mo,We 13:00-19:00; Tu 13:00-18:00; Th 12:00-17:00",,https://houseofhealingberlin.com,no,52.5450586,13.4228163,7279178744,node,OSM Overpass,
YogaCircle,fitness_centre,Schliemannstraße,22,10437.0,Berlin,,,,unknown,52.5445551,13.4207853,7279405008,node,OSM Overpass,
Sotantar,yoga,Schliemannstraße,25a,10437.0,Berlin,"Mo, Tu, Th, Fr 11:00-19:00; Sa 11:00-15:00",,,unknown,52.544994,13.4208589,7279495026,node,OSM Overpass,
fit & feminin,fitness_centre,Fürstenwalder Allee,318,12589.0,Berlin,,,,unknown,52.4313095,13.7153681,7296568749,node,OSM Overpass,
My Sports,fitness_centre,Danziger Straße,69,10435.0,Berlin,"Mo-We 08:00-14:00,16:00-20:30; Th 08:00-14:00,16:00-20:00; Fr 08:00-20:00; Sa 10:00-15:00",,,yes,52.5395343,13.4235503,7311293615,node,OSM Overpass,
EMS Training Berlin,fitness_centre,,,,Berlin,"Mo,We,Fr 10:00-20:00; Tu,Th 13:00-20:00; Sa 10:00-14:00",,http://www.ems-training-berlin.de/,unknown,52.475808,13.3246233,7544210933,node,OSM Overpass,
Oma Om Yoga,fitness_centre,Richardstraße,43,12055.0,Berlin,,,,unknown,52.4734928,13.4452931,7553701884,node,OSM Overpass,
Fitbox,fitness_centre,Rheinstraße,17,12159.0,Berlin,Mo-Fr 08:00-20:30; Sa 09:00-16:00,,https://fitbox.de/de/studios/fitbox-berlin-friedenau,unknown,52.4694551,13.332784,7554171386,node,OSM Overpass,
Blue Panta,fitness_centre,Transvaalstraße,11,13351.0,Berlin,"Mo-Th 07:30-11:30,18:00-22:00; Fr 07:30-11:30,18:00-20:30; Sa 10:00-14:00; Su 10:00-19:30",,,unknown,52.5527066,13.3424248,7623775571,node,OSM Overpass,
Yogazeit Stråla,fitness_centre,Hauptstraße,69,12159.0,Berlin,,+49 163 6661164,https://yogazeit-berlin.de/,yes,52.4758116,13.3401936,7640755748,node,OSM Overpass,
Yogavihar,fitness_centre,,,,Berlin,,,,no,52.5162635,13.3044631,7650571611,node,OSM Overpass,
Entspannt mit Yoga,fitness_centre,Beckerstraße,9,12157.0,Berlin,"""Unterschiedlicher Kursplan""",+49 151 40450738,https://www.entspannt-mit-yoga.de/,no,52.4670632,13.3396573,7680118565,node,OSM Overpass,
Raum für Bewegung Quan Dao,fitness_centre,Niedstraße,12,12159.0,Berlin,,+49 172 3976033,https://www.quandao-raum.de/,no,52.4726259,13.3324358,7683719224,node,OSM Overpass,
Akademie für Yoga Berlin,fitness_centre,Wilhelmshöher Straße,5,12161.0,Berlin,,,https://triyoga-akademie.de,unknown,52.4726648,13.3259026,7749923385,node,OSM Overpass,
Donna Mobile,fitness_centre,Rheinstraße,46,12161.0,Berlin,,,https://www.donnamobile.de/,unknown,52.4667964,13.3306922,7776107176,node,OSM Overpass,
Flow Fitness,fitness_centre,Fregestraße,11,12159.0,Berlin,,+49 30 24329828,https://www.flowfitness.info/,unknown,52.4702542,13.3370775,7776239760,node,OSM Overpass,
Peronal Pilates,fitness_centre,Wilhelmshöher Straße,20,12161.0,Berlin,"""Termine nach Vereinbarung""",,,unknown,52.4723634,13.3231711,7777530626,node,OSM Overpass,
CrossFit,fitness_centre,Berliner Straße,30,10715.0,Berlin,,,https://hauptstadt-crossfit.de/,unknown,52.4867414,13.3236197,7804846347,node,OSM Overpass,
Sarasvati Yoga Berlin,fitness_centre,Bundesallee,53,10715.0,Berlin,,,,unknown,52.4822505,13.329427,7821177808,node,OSM Overpass,
Health Gym Berlin,fitness_centre,,,,Berlin,,,,unknown,52.508509,13.5599114,7836953685,node,OSM Overpass,
Ashtanga Yoga Schule,fitness_centre,,,,Berlin,,,,unknown,52.4945812,13.3577898,7850361039,node,OSM Overpass,
Mrs. Sporty,fitness_centre,Winsstraße,42,10405.0,Berlin,Mo-Su 06:00-22:00,+49 30 30026644,https://www.mrssporty.de/club/berlin-prenzlauerberg-winsstrasse/,no,52.536809,13.4277953,7867810048,node,OSM Overpass,
Pour la danse,dance,Reinhardtstraße,47,10117.0,Berlin,,,,unknown,52.5219701,13.3785398,7888120846,node,OSM Overpass,
Honigseele,yoga,,,,Berlin,,,,unknown,52.4941125,13.3829359,7931581679,node,OSM Overpass,
Strom-Linien,fitness_centre,Prinzregentenstraße,42,10715.0,Berlin,,,https://www.ems-studio-berlin.de/,unknown,52.4792746,13.3325115,8042827117,node,OSM Overpass,
Ready Set Move – Personal Training Berlin,fitness_centre,Schönhauser Allee,134,10437.0,Berlin,Mo-Fr 08:00-20:00,+49 17621964450,https://ready-set-move.de,unknown,52.5444176,13.4118011,8066147155,node,OSM Overpass,
Fitbox,fitness_centre,,,,Berlin,Mo-Fr 09:00-20:00; Sa 09:00-16:00,,,unknown,52.4909974,13.3313311,8077205619,node,OSM Overpass,
Kessler Sports,fitness_centre,,,12167.0,Berlin,"Mo,We,Fr 13:00-20:00; Tu,Th 10:00-20:00; Sa 10:00-14:00; PH,Su off",,,unknown,52.4526924,13.3304973,8091797796,node,OSM Overpass,
Sporteve,fitness_centre,Laubacher Straße,12,14197.0,Berlin,Mo-Su 07:00-21:00,,https://www.sporteve.de/clubs/berlin-friedenau/,unknown,52.4709457,13.3202746,8094802649,node,OSM Overpass,
Fitness First Ladies,fitness_centre,,,,Berlin,,,,unknown,52.4575255,13.3208065,8120989341,node,OSM Overpass,
Pilates On The Go,fitness_centre,Wiesbadener Straße,79,12161.0,Berlin,,,,unknown,52.4714277,13.320908,8143925996,node,OSM Overpass,
Rocycle,fitness_centre,,,,Berlin,,,,unknown,52.5005866,13.3103661,8197441972,node,OSM Overpass,
pilaME,fitness_centre,Homuthstraße,6,12161.0,Berlin,,,https://pila-me.de/,unknown,52.4703204,13.3231656,8199219273,node,OSM Overpass,
Praxis für die Seele,fitness_centre,Bundesallee,123,12161.0,Berlin,,,http://praxis-fuer-die-seele.eu,unknown,52.4697929,13.3289566,8222836706,node,OSM Overpass,
Yoga Glück,fitness_centre,Hackenbergstraße,7,12489.0,Berlin,,,https://www.yoga-glueck-berlin.de,unknown,52.4395292,13.5479174,8231100116,node,OSM Overpass,
Fitnessclub Vitalis,fitness_centre,Zerpenschleuser Ring,37,13439.0,Berlin,Mo-Fr 07:00-22:00; Sa-Su 10:00-20:00,+49 30 415 38 80,https://www.fitnessclub-vitalis.de/,unknown,52.6048775,13.3673041,8330198881,node,OSM Overpass,
Hundred & Friends,fitness_centre,Berliner Straße,161,10715.0,Berlin,"Mo-Fr 16:00-20:00, Tu,Th 10:00-18:00+",,https://www.lifekosmetik.com/,unknown,52.4877092,13.3345576,8422865852,node,OSM Overpass,
FIT/ONE,fitness_centre,Hansastraße,236,13051.0,Berlin,Mo-Su 06:00-24:00,,,unknown,52.5603992,13.4984219,8462294818,node,OSM Overpass,
Centerline Pilates,fitness_centre,,,,Berlin,,+49 176 20 21 22 24,https://www.centerline-pilates.de/,unknown,52.5535695,13.4052242,8558365378,node,OSM Overpass,
Fitbox,fitness_centre,Prenzlauer Allee,207,10405.0,Berlin,Mo-Fr 08:00-20:30; Sa 09:00-16:00,,,unknown,52.5371215,13.4225943,8621664469,node,OSM Overpass,
ride-berlin.com,fitness_centre,,,,Berlin,,,,unknown,52.5399323,13.4177211,8622816454,node,OSM Overpass,
Iyengar Yoga,fitness_centre,,,,Berlin,,,,unknown,52.5110332,13.2913584,8626109382,node,OSM Overpass,
Schule für Yoga und Prana,fitness_centre,Innsbrucker Straße,56,10825.0,Berlin,,,https://muenzeryoga.jimdofree.com/,unknown,52.4872648,13.3407554,8637655134,node,OSM Overpass,
Soulsport Yoga,fitness_centre,Gubener Straße,47,10243.0,Berlin,,,https://www.soulsport.net/,unknown,52.5121345,13.4485371,8662502304,node,OSM Overpass,
"pilatique, Pilatesstudio",fitness_centre,,,,Berlin,"""nach Vereinbarung""",+49 30 57704087,https://pilatique.de/,no,52.5492037,13.3471371,8679795668,node,OSM Overpass,
Yoga für alle,yoga,,,,Berlin,,+49 30 7875496,https://www.yogafueralle.de,unknown,52.4555537,13.3298931,8744170510,node,OSM Overpass,
Be Your Star Fitnesscoaching,fitness_centre,Joachim-Friedrich-Straße,41,10711.0,Berlin,,+49 171 2697356,https://www.be-your-star.berlin/,unknown,52.4990796,13.2960862,8839649644,node,OSM Overpass,
Iyengar,fitness_centre,,,,Berlin,,,,unknown,52.4825358,13.3816579,8989690901,node,OSM Overpass,
X-Step,fitness_centre,Tempelhofer Ufer,36,10963.0,Berlin,16:00-18:00,+49 30 2616925,,unknown,52.500659,13.3756597,9067697047,node,OSM Overpass,
Unknown Gym,fitness_centre,Oranienburger Straße,110,13437.0,Berlin,,,,unknown,52.6010328,13.331864,9258064630,node,OSM Overpass,
BiSee Yoga,fitness_centre,Bizetstraße,43,13088.0,Berlin,,,https://bisee-yoga.de,no,52.5478641,13.4534306,9402426708,node,OSM Overpass,
Bodystreet,fitness_centre,Bismarckstraße,70,12157.0,Berlin,Mo-Fr 09:00-20:30,+49 30 79014869,https://www.bodystreet.com/de/studio/bodystreet-berlin-bismarckstrasse,unknown,52.4623323,13.3395351,9404573372,node,OSM Overpass,
Fitbox,fitness_centre,Berliner Allee,108,13088.0,Berlin,Mo-Fr 10:00-21:00; Sa 10:00-16:00,+49 30 40569210,https://fitbox.de/de/studios/fitbox-berlin-weissensee,unknown,52.5500839,13.4596077,9431775959,node,OSM Overpass,
Sonne Mond & Sterne,fitness_centre,Meyerbeerstraße,59,13088.0,Berlin,signed=no,,https://sonnemondundsterne-weissensee.jimdofree.com/,unknown,52.5476997,13.4572285,9504311194,node,OSM Overpass,
PRO-STAGE,fitness_centre,,,,Berlin,,+49 30 61209261,https://prostage.berlin/,unknown,52.4939117,13.3982992,9524144982,node,OSM Overpass,
LovFit,fitness_centre,,,,Berlin,24/7,,,unknown,52.508465,13.2726237,9529221826,node,OSM Overpass,
Middendorf Yoga,yoga,Karl-Marx-Straße,92-98,12043.0,Berlin,,,,unknown,52.4798838,13.4359448,9563056748,node,OSM Overpass,
JOHN REED Fitness,fitness_centre,Wilmersdorfer Straße,126-127,10627.0,Berlin,"Mo-Su,PH 06:00-24:00",+49 30 31800437,https://johnreed.fitness/club-berlin-charlottenburg,no,52.5097577,13.306013,9592884391,node,OSM Overpass,
MO.VE,fitness_centre,Kissinger Straße,9,12157.0,Berlin,,,,unknown,52.462798,13.3408491,9632071018,node,OSM Overpass,
Peace Yoga Berlin,fitness_centre,Eisenbahnstraße,5,10997.0,Berlin,,,https://www.peaceyoga.de,unknown,52.5016941,13.432989,9662767223,node,OSM Overpass,
Bodystreet,fitness_centre,Berliner Straße,2,13187.0,Berlin,Fr 09:30-15:00; Mo-Th 09:30-20:30,,,no,52.5702216,13.4103995,9708780370,node,OSM Overpass,
Ladycompany - Fitness für Frauen,fitness_centre,Spandauer Straße,4,10178.0,Berlin,"Mo-Fr 08:00-22:00; Sa,Su 10:00-20:00",+493024020677,https://www.ladycompany.de/,unknown,52.5209499,13.4041015,9728794514,node,OSM Overpass,
Tapout Fitness Berlin,fitness_centre,,,,Berlin,,,,unknown,41.6423742,-72.7304574,9734045042,node,OSM Overpass,
yogafürdich Berlin,fitness_centre,,,,Berlin,,,,unknown,52.515338,13.4656869,9775820813,node,OSM Overpass,
dein Pilates,fitness_centre,,,,Berlin,,,,unknown,52.5527342,13.4109373,9806604950,node,OSM Overpass,
Corpus Dicio,fitness_centre,,,,Berlin,,,,unknown,52.5104148,13.2922362,9816576692,node,OSM Overpass,
Bunker Berlin,fitness_centre,Grünberger Straße,54,10245.0,Berlin,24/7,,,unknown,52.511239,13.4558403,9830837796,node,OSM Overpass,
Lotos Yoga Berlin - YOGA LOFT,fitness_centre,Scharnweberstraße,30,,Berlin,,+49 30 91544928,https://yoga-lotos.de/,unknown,52.5133709,13.4633274,9846635117,node,OSM Overpass,
AXT CrossFit,fitness_centre,Hauptstraße,13,10317.0,Berlin,"Mo-Fr 07:00-08:00,12:00-13:00,15:00-21:30; Sa 09:00-14:00; Su 11:00-15:00",+4915792465440,https://www.axtcrossfit.com/,unknown,52.4919528,13.489293,9852432518,node,OSM Overpass,
Unknown Gym,fitness_centre,Storkower Straße,225,10367.0,Berlin,,,,unknown,52.5232792,13.4769045,9867335575,node,OSM Overpass,
Fitness am Park,fitness_centre,Elsenstraße,113,,Berlin,Mo-Fr 07:00-22:00; Sa 09:00-17:00; Su 09:00-20:00,+49 30 5363800,https://www.activ-fitness-deutschland.de/berlin-treptow.html,unknown,52.4913483,13.4575706,9906919513,node,OSM Overpass,
FitnessCenter aTB,fitness_centre,Am Tempelhofer Berg,6,,Berlin,"Mo, We, Fr 07:00-22:00; Tu, Th 09:00-22:00; Sa 10:00-20:00; Su 10:00-18:00",+49 30 693 40 40,https://www.fitnesscenter-atb.com/,unknown,52.4888923,13.387549,9906938038,node,OSM Overpass,
AllStar Gym,fitness_centre,Leipziger Platz,12,10117.0,Berlin,,+49 30 94051670,https://allstargym.de/,unknown,52.5104581,13.3813194,9928786051,node,OSM Overpass,
mPointUp,fitness_centre,,,,Berlin,,,,unknown,52.5646061,13.4095769,9985456517,node,OSM Overpass,
Lokai Loft,fitness_centre,,,,Berlin,06:00-22:00,,,unknown,52.4908896,13.30329,10000479377,node,OSM Overpass,
Future Fit,fitness_centre,Schönhauser Allee,57,10437.0,Berlin,"Mo-Fr 09:00-19:00, Sa by arrangement",,,no,52.5438448,13.4127951,10035842242,node,OSM Overpass,
Bodystreet,fitness_centre,Prenzlauer Allee,88,,Berlin,,,,limited,52.544999,13.4279151,10045257318,node,OSM Overpass,
Arcoverde Pilates Zentrum,fitness_centre,Cantianstraße,11,10437.0,Berlin,,+49 30 40301875,http://pilatesinberlin.de,unknown,52.544723,13.4111529,10056214905,node,OSM Overpass,
Marion Röhrig Pilates,fitness_centre,Heinrich-Roller-Straße,24,10405.0,Berlin,,,,unknown,52.5313866,13.4215563,10100682968,node,OSM Overpass,
Pantarei Approach,fitness_centre,Winsstraße,60,10405.0,Berlin,,,www.learnpantarei.com,limited,52.5335247,13.4247709,10100813297,node,OSM Overpass,
Twenty Minutes Fitness Lounge,fitness_centre,Stubenrauchstraße,1,12161.0,Berlin,,,https://twentyminutes-fitness.jimdo.com/,unknown,52.4690894,13.3279458,10121509310,node,OSM Overpass,
Indiv Sports,fitness_centre,Schützenstraße,16,,Berlin,,+4915224261916,www.indivsports.de,no,52.4532489,13.3223719,10124188468,node,OSM Overpass,
Crunch Fit Studio Berlin-Schöneberg,fitness_centre,Bessemerstrasse,57-75,12103.0,Berlin,Mo-Su 06:00-24:00,+49 30 586 155 690,https://www.crunchfit.de/studio/berlin-schoeneberg/,unknown,52.462578,13.3674509,10131167926,node,OSM Overpass,
Little Yoga Store,yoga,Goltzstraße,,10781.0,Berlin,"Mo-Tu, Th-Fr 11:00-18:00; Sa 12:00-16:00",,,no,52.4907384,13.353034,10162590418,node,OSM Overpass,
